epoch,accuracy,loss,val_accuracy,val_loss
0,0.7279999852180481,0.8058724999427795,0.856249988079071,0.33607563376426697
1,0.8320000171661377,0.4283163845539093,0.8349999785423279,0.40809574723243713
2,0.8790000081062317,0.32521313428878784,0.8849999904632568,0.3061593174934387
3,0.8809999823570251,0.2720148265361786,0.8475000262260437,0.3310762047767639
4,0.9190000295639038,0.21285764873027802,0.893750011920929,0.2877543270587921
5,0.9319999814033508,0.15175968408584595,0.8399999737739563,0.48235630989074707
6,0.9359999895095825,0.17705285549163818,0.8924999833106995,0.34484949707984924
7,0.9509999752044678,0.12205949425697327,0.8762500286102295,0.40757569670677185
8,0.953000009059906,0.12012342363595963,0.8387500047683716,0.6456921100616455
9,0.9570000171661377,0.10975091904401779,0.8412500023841858,0.6365414261817932
